k,status,x,y,w,h,rx,ry,lx,ly,nx,ny
0,FAILED,,,,,,,,,,
1,OK,254,-9,787,787,537.46,342.28,740.01,345.09,655.97,424.76
2,OK,256,-3,779,779,537.52,342.37,738.16,348.07,653.46,427.14
3,OK,256,-4,782,782,538.62,341.9,739.86,348.74,655.21,429.15
4,OK,256,1,785,785,540.21,344.13,742.23,352.62,654.89,438.4
5,OK,255,-10,792,792,541.77,341.12,745.63,346.56,658.8,429.8
6,OK,268,-11,786,786,550.33,338.7,752.7,344.95,671.22,423.6
7,OK,279,-14,786,786,557.79,338.48,760.14,341.78,685.65,419.54
8,OK,281,-8,779,779,559.09,338.65,759.54,345.36,682.22,421.68
9,OK,273,-7,783,783,553.91,339.98,755.43,343.26,673.8,427.61
10,OK,272,-10,785,785,555.22,336.93,757.1,347.04,672.47,422.98
11,OK,284,-6,777,777,560.72,339.4,760.8,345.17,684.76,421.89
12,OK,300,7,755,755,567.45,340.77,761.86,348.36,689.55,423.83
13,OK,294,9,758,758,566.37,342.35,761.44,348.78,683.24,431.06
14,OK,292,14,759,759,564.45,346.08,759.94,349.6,681.17,439.95
15,OK,290,12,764,764,564.36,346.76,761.02,352.26,683.05,439.58
16,OK,291,25,750,750,561.16,347.92,754.02,358.06,675.0,448.73
17,OK,275,10,767,767,553.17,343.95,750.17,358.95,666.17,435.38
18,OK,271,18,760,760,546.26,350.96,741.73,360.55,658.93,440.78
19,OK,267,21,761,761,542.09,352.82,738.06,358.4,655.6,446.98
20,OK,263,7,769,769,541.57,346.56,739.27,356.37,653.67,431.48
21,OK,263,5,772,772,542.92,346.93,741.6,355.52,657.42,431.72
22,OK,272,20,759,759,543.95,354.21,739.45,356.4,661.16,443.08
23,OK,268,17,764,764,544.25,352.28,740.98,358.87,657.48,442.51
24,OK,273,22,755,755,544.96,354.35,739.46,358.55,658.64,442.64
25,OK,266,16,767,767,541.05,358.02,738.61,354.88,658.45,441.68
26,OK,268,15,764,764,543.95,353.5,740.68,355.3,659.64,439.69
27,OK,269,14,761,761,542.43,355.55,738.23,348.29,659.53,436.82
28,OK,267,12,765,765,542.23,353.84,739.17,348.61,658.98,438.68
29,OK,275,22,750,750,545.96,356.47,739.1,351.32,659.45,440.56
30,OK,284,33,743,743,551.75,361.06,742.96,353.41,664.63,452.31
31,OK,288,32,740,740,556.28,357.68,746.73,353.83,665.59,449.2
32,OK,290,28,746,746,559.48,359.23,751.6,353.28,672.29,446.88
33,OK,307,30,731,731,568.57,355.43,756.77,347.69,681.75,439.17
34,OK,310,34,725,725,570.77,355.84,757.43,353.41,680.46,438.36
35,OK,312,36,725,725,573.39,356.39,760.04,353.8,682.57,442.84
36,OK,319,40,716,716,577.44,354.44,761.83,352.59,686.28,443.81
37,OK,322,41,713,713,578.02,354.23,761.68,351.95,687.2,441.51
38,OK,320,41,721,721,579.4,354.06,764.98,354.62,688.43,447.72
39,OK,318,43,723,723,577.51,359.92,763.66,357.74,688.2,449.79
40,OK,321,41,718,718,578.76,358.74,763.54,352.12,689.29,444.89
41,OK,318,32,727,727,578.99,357.09,766.14,350.99,691.22,436.84
42,OK,318,32,724,724,577.99,356.43,764.14,346.91,690.09,437.56
43,OK,315,28,725,725,574.51,353.98,760.89,342.7,687.5,432.02
44,OK,311,27,729,729,572.32,354.9,759.63,343.57,684.88,434.03
45,OK,308,23,735,735,571.92,355.06,760.91,344.65,685.29,431.95
46,OK,312,29,733,733,573.65,358.17,762.01,343.85,689.02,440.86
47,OK,312,30,732,732,572.06,360.65,759.73,343.15,690.37,440.15
48,OK,312,32,727,727,571.52,358.71,758.36,345.01,686.74,438.58
49,OK,309,25,726,726,568.38,355.72,754.71,340.06,683.38,429.9
50,OK,315,29,721,721,570.33,358.36,755.44,343.82,687.38,428.76
51,OK,313,34,721,721,569.27,360.68,754.48,346.17,686.03,435.64
52,OK,310,37,721,721,569.23,358.23,754.73,350.58,679.71,440.28
53,OK,313,38,723,723,572.44,362.97,758.25,352.19,684.51,442.3
54,OK,315,42,717,717,571.8,363.32,756.28,353.06,682.15,442.14
55,OK,313,37,720,720,569.48,362.43,754.57,349.38,684.21,440.01
56,OK,310,31,727,727,569.14,360.63,755.74,346.5,685.13,435.87
57,OK,310,32,723,723,568.87,359.41,754.56,346.59,682.23,433.94
58,OK,308,29,726,726,568.15,358.59,754.74,346.45,682.01,432.44
59,OK,303,27,733,733,565.54,359.01,753.9,345.65,679.68,434.64
60,OK,305,25,725,725,563.39,357.44,749.27,340.32,678.01,425.12
61,OK,316,25,712,712,567.68,353.14,750.24,336.58,686.93,418.7
62,OK,325,30,704,704,574.85,352.71,755.89,343.08,688.87,416.75
63,OK,332,27,699,699,578.04,343.59,757.97,334.94,695.28,414.3
64,OK,344,19,693,693,586.62,332.62,764.85,322.67,704.77,402.36
65,OK,365,1,696,696,604.11,318.05,782.54,301.38,733.08,389.5
66,OK,372,2,693,693,614.87,314.5,792.99,303.29,733.65,387.62
67,OK,373,8,702,702,616.06,331.63,796.4,317.45,742.36,395.09
68,OK,381,28,679,679,617.67,336.33,792.16,325.51,737.02,403.68
69,OK,379,31,682,682,617.26,341.29,792.4,326.91,737.06,410.24
70,OK,377,28,682,682,615.39,339.95,790.32,324.64,733.69,406.48
71,OK,374,43,672,672,611.17,353.28,783.73,339.15,723.96,412.71
72,OK,373,55,668,668,608.82,356.85,780.35,343.69,719.51,428.25
73,OK,374,57,661,661,606.41,354.79,776.24,342.82,716.99,426.06
74,OK,375,53,663,663,606.07,351.44,776.58,342.18,722.55,421.22
75,OK,372,45,671,671,606.76,346.41,779.58,342.45,721.07,415.82
76,OK,364,31,684,684,602.97,345.47,778.98,338.16,722.16,406.03
77,OK,365,32,689,689,604.23,347.32,781.37,337.34,725.48,411.17
78,OK,362,30,695,695,604.78,346.0,783.68,343.06,725.28,410.55
79,OK,358,30,696,696,601.14,347.71,780.38,342.61,722.67,412.11
80,OK,355,44,691,691,596.06,355.94,773.92,349.83,715.32,426.19
81,OK,333,35,715,715,587.92,358.95,772.15,355.91,701.68,427.79
82,OK,341,46,693,693,586.84,359.09,765.14,353.79,699.35,428.29
83,OK,344,47,688,688,588.25,356.11,765.45,352.29,700.21,428.3
84,OK,353,49,685,685,594.88,358.22,771.3,354.61,708.09,427.34
85,OK,355,50,687,687,597.5,356.53,774.34,356.67,711.52,431.21
86,OK,359,53,678,678,597.58,355.07,772.12,355.38,713.04,429.51
87,OK,358,53,681,681,596.8,356.18,772.17,354.66,713.27,430.9
88,OK,357,53,680,680,595.7,357.58,770.84,353.86,710.88,431.91
89,OK,358,57,679,679,596.83,358.21,771.61,356.44,711.39,435.14
90,OK,354,52,685,685,594.59,358.75,771.01,356.1,709.43,430.69
91,OK,356,50,688,688,599.64,356.5,776.96,356.78,713.31,432.12
92,OK,351,46,700,700,600.3,356.04,780.66,354.1,711.9,437.41
93,OK,361,48,686,686,604.72,351.1,781.46,351.83,716.4,431.46
94,OK,361,35,693,693,604.95,343.29,783.47,342.25,721.25,420.75
95,OK,357,31,698,698,602.6,342.91,782.47,340.67,719.48,419.31
96,OK,364,43,697,697,609.31,353.37,788.72,350.56,726.04,431.78
97,OK,365,37,704,704,614.05,352.28,795.36,353.74,729.52,426.44
98,OK,362,36,710,710,614.28,351.39,797.21,354.53,728.99,429.6
99,OK,362,40,707,707,612.73,354.8,794.73,356.56,728.09,432.31
100,OK,349,34,720,720,606.58,355.0,792.06,353.37,720.48,434.28
101,OK,347,40,710,710,600.54,357.68,783.34,352.5,713.64,436.5
102,OK,344,37,700,700,590.86,357.59,770.76,344.73,708.68,422.85
103,OK,343,33,701,701,588.41,357.06,768.47,343.44,708.45,416.79
104,OK,330,26,715,715,580.72,359.82,763.77,339.78,703.43,418.05
105,OK,328,28,710,710,577.22,358.22,759.02,339.06,698.19,419.08
106,OK,323,25,721,721,576.61,357.19,762.09,347.7,697.6,417.67
107,OK,315,30,728,728,573.55,360.84,761.0,353.91,691.65,432.35
108,OK,331,42,710,710,581.37,363.59,764.29,359.69,700.4,433.28
109,OK,341,59,698,698,588.01,365.51,767.73,362.8,704.01,452.39
110,OK,349,66,693,693,593.95,369.4,772.32,366.68,708.84,457.27
111,OK,356,68,686,686,599.11,368.78,775.8,368.5,711.55,453.97
112,OK,344,59,712,712,597.02,371.25,780.52,370.97,711.57,460.03
113,OK,352,59,711,711,602.53,373.11,785.56,365.0,721.39,460.49
114,OK,352,56,721,721,606.37,371.87,792.01,366.06,725.03,463.1
115,OK,355,66,717,717,606.64,379.52,790.99,368.41,729.16,474.4
116,OK,352,59,725,725,607.6,376.63,794.16,368.4,727.67,471.22
117,OK,346,50,736,736,608.16,372.31,797.72,369.82,725.07,465.63
118,OK,349,55,730,730,609.8,372.06,797.88,373.6,725.26,467.24
119,OK,356,55,723,723,612.26,370.68,798.56,369.37,729.62,463.63
120,OK,358,55,722,722,612.71,373.79,798.53,367.51,732.41,462.48
121,OK,355,57,721,721,609.5,375.3,794.92,366.13,729.36,464.44
122,OK,347,50,731,731,606.09,373.13,794.09,364.85,724.62,462.44
123,OK,347,50,727,727,607.01,369.73,794.12,365.15,721.13,459.72
124,OK,354,57,718,718,608.67,372.75,793.55,365.74,725.04,463.96
125,OK,344,52,735,735,604.93,373.96,794.05,367.44,722.67,467.58
126,OK,341,55,732,732,603.3,375.16,791.78,370.17,717.97,469.61
127,OK,338,59,734,734,601.41,380.97,790.35,374.79,715.25,474.54
128,OK,336,60,730,730,597.5,380.86,785.37,372.87,711.39,473.85
129,OK,336,66,725,725,595.18,388.8,781.89,381.64,708.97,471.1
130,OK,331,59,734,734,593.74,389.77,782.62,380.35,708.8,467.5
131,OK,347,65,723,723,604.25,380.53,790.34,372.98,720.57,476.75
132,OK,343,55,730,730,604.78,376.34,792.69,368.76,719.22,468.02
133,OK,347,53,722,722,606.26,373.11,792.17,367.01,717.86,459.83
134,OK,348,50,723,723,606.44,371.46,792.58,362.79,720.16,455.3
135,OK,350,49,719,719,606.62,371.83,791.49,360.7,719.7,449.92
136,OK,350,47,716,716,605.73,369.32,789.93,358.13,718.55,447.37
137,OK,346,50,716,716,602.77,368.61,787.11,362.16,714.09,451.98
138,OK,347,53,711,711,600.68,369.76,783.6,362.42,713.63,451.4
139,OK,344,58,708,708,597.41,373.39,779.74,367.27,708.54,454.96
140,OK,344,60,709,709,597.48,372.69,780.03,370.3,708.51,456.55
141,OK,344,56,717,717,600.15,371.71,784.86,370.13,712.19,457.14
142,OK,346,55,717,717,602.51,369.4,787.12,368.46,715.06,458.35
143,OK,349,60,708,708,602.78,370.73,785.25,369.9,712.89,457.93
144,OK,350,56,711,711,603.45,368.04,786.68,366.93,715.21,454.53
145,OK,349,56,708,708,603.23,366.37,785.69,368.08,712.0,454.52
146,OK,353,57,705,705,604.26,366.02,785.8,367.95,715.25,451.17
147,OK,351,56,708,708,602.97,368.78,785.25,367.79,717.64,452.63
148,OK,356,60,694,694,601.38,368.65,780.17,363.43,716.32,448.91
149,OK,350,59,700,700,599.02,366.93,779.42,367.9,711.74,450.77
150,OK,344,59,705,705,594.75,369.18,776.41,368.48,708.01,455.13
151,OK,341,60,714,714,595.93,367.83,779.77,373.78,709.01,463.83
152,OK,341,60,712,712,593.56,371.08,776.99,374.98,709.63,460.65
153,OK,340,65,707,707,590.09,372.91,772.27,376.42,706.07,462.85
154,OK,343,63,696,696,590.09,367.37,769.36,370.74,702.39,454.13
155,OK,343,65,699,699,590.72,369.8,770.86,372.97,705.0,457.51
156,OK,338,63,703,703,586.16,371.34,767.36,370.33,702.1,457.3
157,OK,329,64,710,710,580.8,375.95,763.7,374.05,696.59,464.72
158,OK,330,64,707,707,579.51,374.52,761.69,371.53,696.78,462.28
159,OK,329,63,708,708,579.6,374.6,761.92,372.43,696.53,461.83
160,OK,329,62,711,711,580.18,373.4,763.21,371.25,697.37,461.8
161,OK,334,62,705,705,583.16,370.75,764.71,371.88,698.08,457.15
162,OK,328,66,715,715,579.47,378.42,763.55,377.04,699.08,468.77
163,OK,319,58,720,720,572.35,379.84,757.64,370.44,694.67,462.82
164,OK,322,50,720,720,574.62,374.34,759.96,365.2,697.39,451.76
165,OK,323,55,720,720,576.98,376.24,762.36,369.34,696.85,458.46
166,OK,324,60,719,719,578.04,376.62,763.27,372.75,696.6,464.99
167,OK,327,62,718,718,581.86,375.35,766.67,376.02,697.97,468.31
168,OK,325,58,719,719,581.39,373.55,766.53,370.3,695.14,463.12
169,OK,324,55,724,724,582.86,374.67,769.38,370.21,697.4,462.0
170,OK,331,57,720,720,584.52,377.19,769.69,366.96,706.14,463.86
171,OK,331,58,720,720,586.69,375.56,772.0,366.87,702.85,465.77
172,OK,318,51,735,735,580.59,379.32,769.5,367.45,695.8,463.75
173,OK,315,48,739,739,578.88,379.78,768.59,364.3,694.97,462.69
174,OK,320,48,734,734,584.03,376.39,772.8,366.0,696.98,459.49
175,OK,329,58,722,722,587.88,377.05,773.62,368.4,700.56,466.45
176,OK,335,64,714,714,591.0,375.47,774.87,370.62,702.84,468.96
177,OK,329,57,727,727,589.05,378.1,776.15,371.5,702.22,466.69
178,OK,334,58,729,729,592.18,376.94,779.82,371.73,710.13,470.38
179,OK,338,55,725,725,595.62,372.64,782.35,368.28,712.59,464.41
180,OK,337,59,724,724,593.5,379.86,779.95,376.53,712.9,463.91
181,OK,334,54,724,724,593.13,371.97,779.58,372.29,706.84,461.35
182,OK,333,51,724,724,590.88,372.01,777.11,362.95,706.92,459.09
183,OK,343,50,712,712,597.75,366.73,781.2,363.15,710.49,448.61
184,OK,343,50,717,717,598.61,366.36,783.18,364.99,711.62,452.27
185,OK,347,48,710,710,600.34,364.33,782.94,356.05,713.51,447.39
186,OK,339,34,723,723,595.66,360.19,781.34,346.16,712.56,436.88
187,OK,343,27,727,727,599.29,359.35,786.11,346.37,719.84,427.45
188,OK,348,30,722,722,604.28,358.17,789.98,349.02,722.78,430.29
189,OK,349,36,721,721,606.72,358.93,792.52,355.44,720.04,435.08
190,OK,353,38,717,717,607.21,360.39,791.84,354.11,723.18,436.06
191,OK,352,43,709,709,602.73,359.5,785.24,355.31,718.52,436.64
192,OK,356,52,700,700,602.92,361.52,783.15,360.21,719.7,443.97
193,OK,356,53,703,703,605.05,360.58,786.06,362.53,720.21,447.82
194,OK,359,58,696,696,605.38,359.02,784.53,364.93,719.51,451.4
195,OK,355,62,694,694,602.77,363.01,781.39,371.01,712.93,451.14
196,OK,357,65,687,687,600.72,364.17,777.48,370.33,712.41,450.22
197,OK,342,60,709,709,596.47,364.37,778.88,373.67,705.85,459.49
198,OK,348,65,696,696,599.06,363.84,777.73,377.18,703.71,457.36
199,OK,345,67,703,703,598.32,366.99,778.96,379.61,705.06,463.33
200,OK,351,66,704,704,603.31,368.7,784.37,380.58,713.37,461.88
201,OK,344,57,711,711,599.78,363.74,782.54,375.16,707.15,455.9
202,OK,341,59,719,719,600.92,365.92,785.52,381.06,708.54,462.79
203,OK,339,54,730,730,599.79,372.85,787.52,383.48,715.73,460.61
204,OK,345,56,716,716,602.47,363.09,786.32,377.73,712.5,458.57
205,OK,340,59,711,711,598.59,360.32,780.98,377.06,701.95,461.25
206,OK,338,62,710,710,595.47,365.36,778.15,376.21,700.88,464.03
207,OK,341,62,709,709,596.57,364.8,778.81,375.91,702.33,462.74
208,OK,342,64,709,709,596.21,368.33,778.51,378.11,705.11,463.45
209,OK,347,68,704,704,598.02,371.91,779.43,375.51,710.55,466.72
210,OK,346,65,706,706,598.91,367.77,780.46,378.22,708.44,464.05
211,OK,349,69,704,704,599.69,370.17,781.0,373.76,711.98,470.12
212,OK,347,63,712,712,601.03,368.12,784.4,371.31,713.37,468.6
213,OK,341,49,734,734,603.9,370.14,792.99,369.32,718.94,463.44
214,OK,351,55,730,730,612.09,370.12,800.07,372.78,726.08,468.58
215,OK,355,56,726,726,615.43,367.03,802.24,372.64,728.28,468.39
216,OK,357,55,719,719,614.65,364.57,799.69,369.56,725.68,462.62
217,OK,359,60,715,715,614.32,366.34,798.42,369.81,727.57,467.19
218,OK,354,61,717,717,608.36,368.46,793.1,368.78,725.16,470.0
219,OK,349,57,720,720,605.66,367.01,791.14,366.23,719.66,467.84
220,OK,342,57,720,720,598.57,368.36,784.07,364.09,713.53,468.97
221,OK,340,62,718,718,593.92,375.61,778.57,367.45,712.86,471.66
222,OK,335,59,719,719,590.42,373.28,775.5,365.27,706.67,467.03
223,OK,335,60,714,714,590.38,370.1,774.36,367.02,701.73,466.38
224,OK,320,52,731,731,582.43,372.9,770.55,364.51,694.7,466.0
225,OK,313,51,734,734,576.26,378.16,764.76,364.23,690.4,465.69
226,OK,319,56,721,721,577.07,373.56,762.58,363.3,688.79,464.75
227,OK,315,53,720,720,574.68,371.72,759.96,362.82,684.02,459.6
228,OK,318,46,721,721,575.45,370.22,760.58,356.27,688.31,448.82
229,OK,323,42,718,718,578.19,365.89,762.7,354.66,694.32,441.8
230,OK,326,43,714,714,579.1,366.49,762.51,353.8,696.44,441.77
231,OK,324,42,718,718,579.02,363.52,763.88,355.07,696.34,443.44
232,OK,318,49,714,714,572.74,365.54,756.55,358.11,686.03,452.17
233,OK,316,36,719,719,570.41,361.44,755.4,351.46,688.29,434.66
234,OK,311,40,718,718,568.05,360.82,752.78,353.47,681.28,442.0
235,OK,313,39,717,717,568.58,360.12,752.95,351.33,682.65,438.88
236,OK,311,34,722,722,567.25,360.91,752.89,350.91,684.59,435.95
237,OK,303,32,724,724,562.34,362.1,748.72,353.1,676.4,430.6
238,OK,323,49,708,708,574.04,362.89,756.21,355.97,689.9,446.99
239,OK,322,48,712,712,574.77,365.52,758.12,362.87,690.36,445.49
240,OK,330,54,704,704,579.13,366.53,760.55,363.25,695.47,448.8
241,OK,329,58,701,701,578.53,366.53,759.1,366.69,689.85,450.17
242,OK,324,56,703,703,575.45,364.41,756.56,366.35,684.84,449.44
243,OK,321,50,709,709,574.0,362.88,756.69,363.92,685.18,445.17
244,OK,327,57,698,698,577.15,364.24,756.8,368.02,686.62,446.63
245,OK,326,52,704,704,578.17,359.91,759.53,364.18,688.52,446.35
246,OK,321,46,715,715,574.26,362.61,758.55,361.32,689.98,445.41
247,OK,321,50,708,708,572.64,364.39,754.9,359.73,687.57,445.99
248,OK,326,49,706,706,576.2,362.93,758.08,357.03,692.38,445.55
249,OK,325,45,712,712,577.22,362.44,760.58,357.6,695.09,443.86
250,OK,331,55,697,697,578.73,361.98,758.38,360.96,689.47,445.34
251,OK,337,65,694,694,583.25,370.73,762.11,371.63,696.82,452.97
252,OK,333,61,704,704,582.83,369.44,764.04,369.92,698.47,457.36
253,OK,331,59,706,706,581.49,366.71,763.34,367.62,696.24,458.71
254,OK,331,56,709,709,581.91,365.6,764.52,366.96,698.71,454.45
255,OK,339,49,702,702,584.37,362.07,764.85,351.36,705.55,444.2
256,OK,334,41,707,707,581.2,357.83,763.04,347.19,702.27,437.41
257,OK,334,36,702,702,579.43,353.8,760.07,343.4,701.58,426.26
258,OK,338,38,699,699,582.44,353.06,762.25,343.6,701.75,425.77
259,OK,345,40,696,696,587.56,354.96,766.52,344.97,709.44,427.83
260,OK,330,35,717,717,582.63,358.18,766.95,347.2,703.05,434.96
261,OK,331,36,709,709,580.59,355.6,762.79,344.55,699.22,431.12
262,OK,340,49,693,693,584.97,358.17,763.23,351.14,699.81,436.68
263,OK,327,35,718,718,581.06,361.16,765.89,355.21,699.56,430.44
264,OK,331,42,710,710,583.3,359.98,766.12,354.96,697.6,436.89
265,OK,336,44,716,716,588.39,365.87,772.66,361.1,708.44,442.24
266,OK,345,51,701,701,591.3,363.41,771.78,360.8,709.54,441.59
267,OK,345,50,700,700,592.39,362.1,772.63,360.07,709.25,440.16
268,OK,349,53,705,705,597.34,367.72,779.03,368.63,715.46,442.9
269,OK,355,57,705,705,601.64,369.78,783.28,370.18,722.53,449.25
270,OK,357,60,695,695,601.35,362.61,780.41,364.8,717.61,450.94
271,OK,339,57,704,704,589.16,365.34,770.54,368.25,704.12,451.25
