k,status,x,y,w,h,rx,ry,lx,ly,nx,ny
0,FAILED,,,,,,,,,,
1,OK,162,-9,958,958,541.87,422.7,720.92,417.78,652.09,521.03
2,OK,161,0,958,958,540.84,430.98,719.87,425.28,651.62,531.17
3,OK,158,0,969,969,540.89,434.3,722.04,426.34,653.05,538.16
4,OK,152,-8,981,981,541.1,431.7,724.53,426.21,652.33,536.89
5,OK,162,-4,967,967,545.18,429.43,726.01,424.29,656.19,532.45
6,OK,168,-3,960,960,548.36,425.77,727.93,423.9,658.01,530.01
7,OK,156,-13,969,969,539.67,421.97,720.62,413.34,650.09,525.73
8,OK,154,-21,962,962,534.79,413.71,714.37,403.35,645.62,512.54
9,OK,141,-30,973,973,525.95,411.4,707.3,397.03,638.61,509.56
10,OK,124,-46,991,991,517.65,406.23,702.67,394.08,627.98,499.82
11,OK,135,-37,966,966,519.71,401.4,700.18,391.77,626.66,497.36
12,OK,128,-45,966,966,514.78,393.91,695.17,382.5,618.25,489.43
13,OK,117,-61,985,985,512.56,387.38,696.56,376.89,615.2,481.12
14,OK,124,-56,968,968,513.74,382.47,694.59,373.89,613.63,477.97
15,OK,123,-61,969,969,512.96,378.2,694.1,373.29,611.04,471.76
16,OK,114,-71,973,973,506.11,368.07,688.17,369.01,603.56,462.77
17,OK,114,-66,965,965,502.98,369.05,683.48,371.76,598.86,462.48
18,OK,99,-70,976,976,494.67,371.94,677.29,372.06,588.61,465.27
19,OK,78,-84,1001,1001,485.96,372.37,673.17,370.12,577.92,462.51
20,OK,65,-83,1001,1001,475.95,374.2,663.11,370.97,560.81,463.3
21,OK,63,-81,992,992,472.54,375.14,658.03,368.1,553.2,459.12
22,OK,77,-70,966,966,477.1,368.16,657.78,367.63,552.98,459.31
23,OK,77,-79,981,981,481.93,365.59,665.45,368.32,560.73,456.4
24,OK,86,-82,992,992,491.84,369.72,677.28,368.55,580.13,459.27
25,OK,112,-67,973,973,505.0,378.13,686.71,368.79,601.15,465.05
26,OK,127,-75,974,974,519.4,370.02,701.59,368.81,619.33,456.23
27,OK,127,-68,966,966,516.02,371.6,696.68,368.05,614.82,460.69
28,OK,123,-61,969,969,512.93,376.62,694.1,374.08,610.74,471.33
29,OK,116,-68,985,985,512.75,376.94,696.93,376.14,611.54,472.65
30,OK,118,-67,975,975,512.34,374.48,694.72,374.62,608.34,467.06
31,OK,123,-68,970,970,515.35,370.81,696.83,374.45,611.08,461.89
32,OK,152,-70,967,967,536.86,365.27,717.54,373.24,644.1,457.35
33,OK,157,-76,976,976,545.36,362.79,727.6,374.2,654.55,456.65
34,OK,154,-72,977,977,543.45,365.33,725.61,379.58,649.9,461.5
35,OK,156,-71,971,971,542.61,364.64,723.92,375.13,650.59,459.57
36,OK,160,-74,966,966,544.52,362.48,724.86,372.55,652.61,452.05
37,OK,158,-78,970,970,544.21,364.57,725.48,369.43,652.86,447.64
38,OK,151,-90,985,985,540.38,365.87,724.65,363.95,653.72,439.97
39,OK,156,-89,978,978,545.58,363.45,728.39,359.32,653.14,439.21
40,OK,167,-77,963,963,551.02,364.16,731.14,362.66,656.17,446.55
41,OK,158,-85,972,972,545.3,361.58,726.97,366.25,651.87,439.78
42,OK,125,-91,995,995,525.46,367.54,711.54,372.43,627.25,442.74
43,OK,120,-82,986,986,518.3,368.17,702.64,373.8,615.91,452.71
44,OK,125,-73,984,984,519.37,372.63,703.32,377.48,624.64,463.44
45,OK,140,-57,966,966,522.84,379.69,703.59,380.52,633.55,473.23
46,OK,126,-63,984,984,517.31,381.22,701.29,380.16,627.48,478.44
47,OK,123,-64,985,985,515.37,384.54,699.43,377.4,624.36,476.77
48,OK,122,-62,986,986,516.05,385.6,700.37,377.66,623.66,481.24
49,OK,141,-51,960,960,523.83,384.44,703.26,378.86,629.79,477.98
50,OK,133,-72,997,997,527.76,385.02,713.85,374.36,641.85,473.03
51,OK,141,-76,1008,1008,537.58,386.36,725.59,373.28,658.57,476.59
52,OK,142,-73,1011,1011,538.68,391.64,727.02,375.22,661.35,481.92
53,OK,139,-76,1004,1004,535.94,386.84,723.31,373.66,652.66,473.55
54,OK,141,-68,987,987,531.15,385.26,715.41,372.82,646.53,472.17
55,OK,122,-68,997,997,518.13,393.28,703.88,376.71,630.15,476.5
56,OK,113,-53,991,991,507.64,404.29,691.41,380.87,617.83,491.98
57,OK,107,-45,1000,1000,502.41,415.4,687.01,385.12,620.42,511.38
58,OK,93,-43,1009,1009,494.14,421.19,680.58,391.6,608.47,516.5
59,OK,90,-41,1010,1010,491.51,426.24,678.13,396.49,605.8,517.77
60,OK,95,-38,1006,1006,493.38,426.44,678.74,394.22,610.06,520.68
61,OK,105,-37,997,997,498.69,426.56,681.55,390.46,616.11,513.71
62,OK,113,-36,993,993,503.48,428.17,684.49,386.58,625.05,512.74
63,OK,105,-52,1006,1006,502.24,428.73,684.58,382.04,623.89,497.94
64,OK,86,-66,1019,1019,491.49,424.39,676.32,378.21,606.45,486.46
65,OK,85,-67,1006,1006,489.39,416.07,674.16,380.76,595.32,474.51
66,OK,99,-68,982,982,493.79,409.14,674.48,375.99,597.28,453.44
67,OK,89,-100,1014,1014,495.22,393.44,681.96,360.62,604.87,438.7
68,OK,99,-96,1009,1009,501.27,389.99,687.87,361.73,612.7,441.21
69,OK,103,-92,1014,1014,507.11,390.76,695.4,367.43,619.51,452.39
70,OK,101,-92,1021,1021,507.12,394.96,696.32,368.79,621.12,454.21
71,OK,116,-76,1000,1000,514.75,393.23,700.43,370.49,625.98,467.71
72,OK,119,-75,1002,1002,517.53,397.81,703.28,373.68,630.59,468.06
73,OK,110,-90,1020,1020,515.17,394.24,704.91,374.06,630.57,457.34
74,OK,101,-86,1008,1008,506.78,390.32,694.39,371.41,611.18,456.6
75,OK,86,-79,1013,1013,496.54,393.25,685.15,375.75,593.74,470.02
76,OK,80,-69,1011,1011,490.51,401.12,678.36,380.24,586.93,482.01
77,OK,68,-68,1017,1017,482.14,409.26,670.52,382.52,576.89,485.53
78,OK,67,-56,1009,1009,477.93,413.23,664.87,387.12,570.84,496.76
79,OK,69,-55,1015,1015,481.74,416.83,669.54,388.78,577.76,502.46
80,OK,75,-57,1014,1014,486.38,413.24,674.34,387.71,584.06,499.66
81,OK,81,-60,1010,1010,490.2,409.14,677.36,383.77,589.05,494.98
82,OK,91,-70,1003,1003,495.73,397.8,681.75,374.24,596.53,476.66
83,OK,94,-93,1015,1015,501.19,386.43,689.38,361.25,608.17,454.49
84,OK,104,-103,1010,1010,507.53,377.41,694.93,353.92,618.13,440.32
85,OK,105,-106,1009,1009,507.21,377.37,694.31,353.36,617.96,432.46
86,OK,114,-105,1012,1012,514.47,386.47,701.5,357.99,632.32,430.19
87,OK,137,-100,996,996,526.49,380.37,710.6,352.33,652.96,431.33
88,OK,138,-99,1004,1004,531.26,384.79,716.24,352.63,657.58,437.72
89,OK,144,-101,999,999,536.48,381.96,720.4,349.0,658.08,432.38
90,OK,146,-111,1015,1015,544.41,385.76,730.24,346.81,669.64,426.92
91,OK,164,-110,1005,1005,559.58,381.14,744.34,347.09,681.22,421.25
92,OK,188,-99,996,996,578.46,383.5,762.38,353.42,703.2,430.13
93,OK,191,-91,991,991,581.3,382.36,765.24,359.4,699.55,437.12
94,OK,177,-104,1005,1005,574.04,378.74,760.58,355.48,691.68,430.83
95,OK,159,-102,1013,1013,560.69,390.74,747.2,357.22,676.72,435.74
96,OK,172,-94,1007,1007,569.73,392.79,755.69,363.34,687.52,440.72
97,OK,181,-88,995,995,573.99,390.49,758.05,363.29,691.68,442.97
98,OK,182,-97,1004,1004,577.95,392.37,762.81,359.94,699.41,434.52
99,OK,183,-99,1008,1008,579.07,391.85,764.23,356.66,702.73,437.3
100,OK,200,-85,990,990,588.21,393.29,771.08,364.27,710.9,442.56
101,OK,157,-66,1003,1003,558.9,418.19,742.18,378.56,667.4,473.09
102,OK,142,-35,1016,1016,547.25,448.22,731.07,399.92,661.31,523.39
103,OK,149,6,1004,1004,547.81,469.94,731.03,429.06,663.27,568.0
104,OK,117,-10,1070,1070,542.74,489.06,737.53,443.37,664.71,584.23
105,OK,120,-7,1070,1070,545.22,493.19,739.54,445.54,668.46,587.19
106,OK,126,13,1056,1056,547.05,499.79,739.21,454.59,666.1,605.17
107,OK,129,21,1053,1053,547.41,504.1,738.97,458.07,667.43,613.15
108,OK,135,26,1045,1045,550.42,506.85,740.1,459.81,669.36,614.03
109,OK,135,20,1051,1051,553.14,505.82,744.28,460.04,671.47,607.41
110,OK,136,23,1047,1047,553.07,507.38,743.54,461.65,670.15,607.67
111,OK,136,28,1040,1040,550.63,507.41,739.23,459.81,667.47,612.69
112,OK,136,27,1040,1040,550.6,505.66,739.6,459.6,668.67,611.48
113,OK,141,31,1031,1031,551.79,503.74,739.65,459.92,667.72,611.22
114,OK,142,24,1032,1032,552.79,499.92,740.61,455.72,670.92,602.64
115,OK,134,10,1052,1052,551.36,497.2,742.48,450.66,674.23,599.98
116,OK,131,11,1055,1055,549.12,496.27,741.48,452.02,670.97,602.78
117,OK,135,9,1049,1049,550.15,493.67,741.05,448.14,672.83,596.05
118,OK,129,3,1058,1058,548.51,495.56,739.97,445.75,673.69,595.3
119,OK,130,5,1055,1055,548.09,491.87,739.92,445.93,671.14,596.37
120,OK,128,4,1058,1058,547.81,492.58,739.79,444.82,671.12,597.93
121,OK,120,-3,1069,1069,544.3,494.0,738.16,445.15,667.19,593.3
122,OK,122,1,1063,1063,544.49,493.13,737.77,446.73,666.6,595.83
123,OK,124,5,1057,1057,543.37,494.58,735.39,447.38,666.47,595.77
124,OK,134,12,1038,1038,546.28,490.14,735.83,448.16,665.39,594.23
125,OK,139,8,1026,1026,546.28,485.14,733.41,442.7,664.39,579.46
126,OK,141,6,1027,1027,546.51,485.26,732.87,438.92,668.84,576.26
127,OK,132,-3,1046,1046,544.35,483.62,734.37,437.19,671.06,580.84
128,OK,138,5,1031,1031,543.44,485.03,730.08,436.25,670.64,579.43
129,OK,133,-3,1024,1024,536.8,477.99,721.83,428.63,662.22,566.51
130,OK,133,1,1020,1020,534.21,474.85,719.52,429.69,659.81,569.78
