k,status,x,y,w,h,rx,ry,lx,ly,nx,ny
0,FAILED,,,,,,,,,,
1,OK,3,-28,976,976,383.01,429.39,556.22,371.67,514.16,520.33
2,OK,22,-43,932,932,385.01,391.98,552.32,342.85,509.12,479.49
3,OK,22,-45,922,922,380.86,382.86,546.99,336.94,502.33,472.53
4,OK,33,-41,902,902,384.65,377.52,548.37,336.8,502.58,464.75
5,OK,32,-43,899,899,383.94,375.78,546.78,333.73,498.08,457.61
6,OK,55,-34,867,867,392.62,366.82,551.17,332.69,506.0,449.32
7,OK,67,-29,847,847,397.86,364.17,553.02,332.3,506.19,440.8
8,OK,83,-24,832,832,406.62,356.8,560.88,336.56,514.62,438.11
9,OK,85,-22,823,823,408.02,354.7,561.01,337.38,509.33,432.74
10,OK,86,-29,833,833,412.95,351.74,567.93,336.46,514.22,430.78
11,OK,102,-13,811,811,419.57,355.97,570.75,343.58,519.17,436.08
12,OK,101,-28,833,833,427.93,351.95,583.16,339.18,530.0,431.33
13,OK,108,-32,833,833,435.68,344.95,591.26,336.69,535.96,427.84
14,OK,122,-27,820,820,442.72,344.86,595.79,336.44,545.51,426.98
15,OK,115,-41,844,844,447.0,340.16,604.84,334.86,548.25,424.67
16,OK,125,-35,838,838,453.68,340.63,610.32,338.84,556.12,429.59
17,OK,138,-24,814,814,456.54,339.47,608.73,339.58,557.7,427.82
18,OK,146,-18,801,801,460.31,339.1,610.08,342.5,557.23,424.61
19,OK,147,-19,800,800,461.24,338.89,610.8,341.6,558.18,423.07
20,OK,142,-26,814,814,461.7,338.23,613.96,340.01,561.29,424.85
21,OK,144,-24,816,816,463.07,339.37,615.64,341.0,565.4,428.13
22,OK,126,-32,847,847,462.95,343.51,621.33,349.1,557.21,436.84
23,OK,113,-32,883,883,465.67,356.6,630.79,360.99,560.97,461.02
24,OK,127,-25,862,862,468.24,360.45,629.51,357.36,568.88,453.38
25,OK,116,-29,872,872,462.65,361.51,625.69,356.52,561.43,456.41
26,OK,117,-16,877,877,467.11,367.83,631.06,371.0,561.74,476.28
27,OK,139,10,866,866,484.48,382.04,645.99,394.96,579.39,498.09
28,OK,173,32,857,857,510.17,399.42,669.82,413.91,613.43,514.82
29,OK,199,45,844,844,529.25,402.76,686.27,419.69,634.71,522.85
30,OK,215,52,850,850,547.56,409.74,705.11,431.31,655.3,534.14
31,OK,217,50,851,851,549.8,410.8,707.46,432.27,656.62,530.29
32,OK,196,1,886,886,540.24,380.97,705.38,395.17,655.3,500.4
33,OK,195,-4,864,864,531.19,371.5,692.5,380.21,643.91,481.32
34,OK,190,-15,871,871,530.01,364.47,692.84,371.63,639.88,473.83
35,OK,186,-29,884,884,532.13,359.16,697.27,366.71,641.83,464.45
36,OK,185,-44,899,899,536.62,356.44,704.77,359.67,647.32,453.0
37,OK,179,-65,936,936,549.84,350.14,724.66,358.01,656.79,452.53
38,OK,182,-76,948,948,557.33,347.99,734.41,355.71,666.87,445.54
39,OK,182,-70,955,955,558.98,355.94,737.55,358.74,670.03,457.04
