hrv_rmssd,hrv_sdnn,gsr_mean,gsr_std,threat,subject
0.017944250871080147,0.03502669826537986,0.7366500491187686,0.01329202371516898,0,S10
0.010278745644599305,0.023008010564608685,0.7388299487885974,0.013501410104766867,0,S10
0.008272425249169426,0.02409963698796299,0.7415530795142764,0.013481410453223514,0,S10
0.008043478260869555,0.031876543755779106,0.7449533190046038,0.013602047844526321,0,S10
0.006925465838509315,0.030102942040328474,0.7469368344261533,0.013605663934150742,0,S10
0.0058074534161490655,0.012067060704537282,0.7473951793852307,0.013516500234818457,0,S10
0.005410334346504544,0.014373952441372823,0.7484472910563151,0.013534989433351385,0,S10
0.0037609329446064025,0.009540290501716541,0.7496272314162481,0.0133946512392696,0,S10
0.0044897959183673375,0.015914080532147427,0.7502706618536086,0.01335507549580589,0,S10
0.006180758017492706,0.021933033515309126,0.7516409919375465,0.013366897981022282,0,S10
0.005947521865889209,0.019159821907058634,0.7532133556547619,0.013313037300157546,0,S10
0.012536443148688046,0.044809219168034826,0.7550772349039714,0.013515232323859547,0,S10
0.02590062111801243,0.07757013985504009,0.7568819681803386,0.013394467377245272,0,S10
0.016857142857142866,0.05791055335701881,0.7577531542096819,0.01334714604768353,0,S10
0.008920634920634926,0.016129228137410356,0.7581604367210751,0.01358653979076778,0,S10
0.00984472049689441,0.02363643567183,0.7591141473679316,0.013685623318699516,0,S10
0.01041269841269841,0.03184712576945479,0.7606519426618303,0.013632364335529959,0,S10
0.006739130434782603,0.02753396778072466,0.7613440922328404,0.013436792852041322,0,S10
0.00486322188449848,0.012309741121320253,0.7627782004220145,0.013746712466022238,0,S10
0.005595238095238102,0.020083337493620408,0.7652579716273716,0.01376788909735138,0,S10
0.006384839650145772,0.02560964422929417,0.7674494788760231,0.013384522517824673,0,S10
0.006034985422740518,0.02313017289081911,0.7693241119384766,0.013319380396019634,0,S10
0.004402332361516031,0.01198216361505546,0.7708433968680245,0.013484820132717014,0,S10
0.00382857142857143,0.00855438520857206,0.7724300202869233,0.013533303739633705,0,S10
