k,status,x,y,w,h,rx,ry,lx,ly,nx,ny
0,FAILED,,,,,,,,,,
1,OK,121,-59,994,994,513.59,394.47,699.33,387.44,629.58,485.51
2,OK,118,-61,997,997,512.71,394.62,698.98,388.08,627.95,484.32
3,OK,123,-54,987,987,512.73,396.25,697.16,387.92,627.91,486.4
4,OK,127,-49,978,978,512.83,398.07,695.38,387.62,629.3,487.76
5,OK,132,-44,971,971,513.31,399.31,694.44,387.28,630.37,488.96
6,OK,128,-48,976,976,512.3,399.42,694.39,387.41,630.12,488.26
7,OK,131,-44,971,971,512.27,400.41,693.48,387.07,629.92,489.78
8,OK,127,-51,981,981,513.61,398.16,696.78,387.91,630.62,485.75
9,OK,123,-55,987,987,511.67,397.52,696.08,388.43,628.39,483.89
10,OK,120,-59,993,993,510.79,398.32,696.05,386.26,628.88,482.7
11,OK,117,-64,996,996,509.36,397.31,695.25,384.76,628.51,478.83
12,OK,121,-58,989,989,510.32,396.97,694.97,386.91,628.21,480.85
13,OK,124,-57,984,984,511.31,396.84,695.1,386.29,630.45,478.91
14,OK,123,-55,984,984,510.15,397.93,693.94,386.98,627.99,481.81
15,OK,124,-55,984,984,511.2,397.66,694.95,387.24,630.15,483.52
16,OK,123,-52,982,982,509.46,398.38,692.82,386.87,627.89,485.61
17,OK,122,-53,985,985,509.41,399.03,693.21,386.8,628.02,486.34
18,OK,124,-53,984,984,511.12,398.76,694.74,386.89,629.4,486.88
19,OK,124,-53,984,984,511.24,399.45,694.88,386.35,629.52,486.88
20,OK,128,-48,977,977,511.55,400.19,693.66,386.36,629.95,487.69
21,OK,124,-52,982,982,510.86,399.75,694.05,386.59,628.73,486.44
22,OK,127,-50,978,978,511.28,400.11,693.69,385.41,629.88,487.08
23,OK,127,-48,976,976,511.81,399.54,693.83,386.63,628.88,487.47
24,OK,125,-51,981,981,511.07,399.53,694.06,385.72,629.01,487.36
25,OK,126,-49,979,979,510.93,399.09,693.57,386.85,628.09,487.69
26,OK,124,-52,985,985,510.99,399.54,694.82,386.66,629.65,487.01
27,OK,123,-52,985,985,510.68,399.82,694.39,386.1,628.92,487.21
28,OK,124,-52,984,984,511.03,400.58,694.59,386.25,630.72,487.14
29,OK,124,-50,982,982,510.71,400.97,693.8,386.23,629.22,488.49
30,OK,126,-50,981,981,511.07,401.1,693.96,386.27,630.71,487.38
