k,status,x,y,w,h,rx,ry,lx,ly,nx,ny
0,FAILED,,,,,,,,,,
1,OK,103,-77,1014,1014,509.32,401.97,696.23,370.3,618.07,474.5
2,OK,105,-68,1009,1009,508.87,403.74,695.61,376.03,616.1,482.56
3,OK,96,-82,1021,1021,506.06,397.02,695.44,372.56,612.17,471.26
4,OK,95,-81,1020,1020,505.04,398.3,694.35,375.06,610.54,472.45
5,OK,83,-90,1037,1037,500.2,395.19,692.94,374.1,607.42,471.61
6,OK,91,-86,1029,1029,504.17,393.09,695.35,370.86,610.26,474.79
7,OK,84,-90,1040,1040,503.08,396.82,695.97,371.81,610.4,476.77
8,OK,86,-86,1031,1031,501.81,394.21,693.68,374.47,604.26,474.55
9,OK,87,-84,1037,1037,504.14,394.7,697.76,382.27,609.37,480.47
10,OK,85,-85,1043,1043,505.55,394.13,700.52,388.02,610.88,482.39
11,OK,82,-74,1051,1051,502.72,408.91,698.76,395.72,613.78,500.81
12,OK,79,-66,1062,1062,503.49,420.91,701.91,412.25,617.74,515.15
13,OK,85,-56,1049,1049,502.34,424.06,698.04,411.53,619.11,518.73
14,OK,81,-57,1053,1053,499.71,425.59,696.23,413.67,617.42,519.84
15,OK,80,-57,1048,1048,497.08,421.33,692.86,411.25,613.3,518.44
16,OK,77,-59,1052,1052,496.63,420.51,693.05,409.72,612.41,520.17
17,OK,74,-66,1059,1059,494.94,419.88,692.04,400.92,613.15,516.68
18,OK,81,-62,1053,1053,499.5,419.26,695.82,404.86,616.72,517.69
19,OK,80,-62,1057,1057,500.29,421.75,697.41,406.38,618.82,519.64
20,OK,79,-62,1054,1054,498.84,421.86,695.3,404.67,616.66,518.68
21,OK,75,-68,1061,1061,498.72,417.02,696.83,405.46,613.51,513.43
22,OK,81,-61,1054,1054,501.72,419.36,698.44,406.59,616.87,519.04
23,OK,89,-59,1047,1047,507.51,416.24,703.24,408.16,620.29,516.63
24,OK,83,-66,1058,1058,507.77,415.86,705.55,407.31,618.89,515.7
25,OK,84,-64,1057,1057,507.69,416.71,705.09,406.73,619.44,518.06
26,OK,86,-59,1050,1050,506.96,417.46,703.01,406.33,618.98,520.83
27,OK,86,-59,1047,1047,504.56,416.99,700.01,404.09,617.11,519.37
28,OK,84,-60,1053,1053,504.31,417.7,700.84,405.84,617.88,520.75
29,OK,81,-64,1056,1056,503.65,416.51,700.71,404.1,617.76,519.56
30,OK,81,-63,1058,1058,504.32,417.8,701.8,405.78,617.88,521.42
31,OK,84,-64,1061,1061,507.79,418.89,706.07,409.96,621.09,518.7
32,OK,86,-57,1056,1056,508.33,420.59,705.48,408.43,623.08,528.91
33,OK,87,-58,1055,1055,508.37,420.11,705.34,409.39,622.01,523.5
34,OK,84,-63,1067,1067,509.78,421.39,709.09,413.35,625.23,522.74
35,OK,85,-61,1066,1066,509.93,423.93,709.0,414.01,627.43,525.5
36,OK,83,-60,1066,1066,507.25,425.26,706.24,412.3,625.96,528.97
37,OK,78,-62,1074,1074,506.58,424.86,707.2,414.36,624.69,531.56
38,OK,79,-61,1072,1072,507.36,423.07,707.69,415.19,624.41,532.16
39,OK,87,-58,1060,1060,510.71,424.58,708.85,417.01,625.15,523.33
40,OK,90,-57,1058,1058,511.59,424.82,709.25,415.07,627.93,525.04
41,OK,86,-53,1058,1058,507.98,424.5,705.47,413.71,623.7,533.01
42,OK,82,-60,1068,1068,507.91,423.32,707.45,414.17,624.66,531.09
43,OK,80,-59,1071,1071,507.43,423.66,707.47,415.22,623.79,533.15
44,OK,76,-63,1076,1076,506.02,424.0,707.15,415.57,623.3,531.54
45,OK,79,-62,1070,1070,507.13,421.68,707.15,415.48,621.05,528.35
46,OK,73,-68,1085,1085,505.4,423.53,708.19,414.42,623.23,530.79
47,OK,80,-60,1069,1069,505.9,423.27,705.63,413.17,622.24,531.05
48,OK,76,-62,1075,1075,505.28,422.88,706.18,413.95,621.04,531.97
49,OK,79,-63,1075,1075,507.6,423.55,708.37,413.93,624.54,529.85
50,OK,83,-57,1065,1065,508.09,422.05,707.07,413.2,622.94,532.56
51,OK,77,-60,1065,1065,503.46,432.07,702.08,416.93,616.88,519.69
52,OK,70,-57,1073,1073,499.57,439.6,699.16,418.18,614.07,529.3
53,OK,66,-63,1082,1082,499.02,439.5,700.15,417.16,615.67,528.82
54,OK,89,-45,1061,1061,509.05,448.07,705.33,419.07,631.6,538.07
55,OK,86,-38,1065,1065,508.04,455.17,704.92,425.6,630.34,548.77
56,OK,78,-26,1065,1065,501.73,465.83,698.91,437.96,621.04,561.48
57,OK,32,-21,1092,1092,471.12,476.04,674.02,452.43,583.76,586.57
58,OK,25,0,1066,1066,453.52,483.12,650.98,455.21,565.71,598.15
59,OK,1,-4,1071,1071,430.54,485.95,627.78,450.56,543.17,595.14
60,OK,-12,0,1080,1080,421.88,493.84,619.97,454.73,536.55,606.04
61,OK,-8,-9,1078,1078,423.09,490.94,620.12,447.79,541.06,592.08
62,OK,13,13,1041,1041,430.59,491.72,620.8,449.99,542.03,595.83
63,OK,13,-5,1054,1054,433.91,481.31,626.74,440.03,550.39,584.18
64,OK,12,-8,1058,1058,435.71,481.36,629.2,439.63,549.84,582.07
65,OK,22,0,1045,1045,440.33,485.09,630.92,441.82,554.33,581.25
66,OK,22,-3,1057,1057,444.96,483.48,639.05,446.44,558.69,585.89
67,OK,23,-5,1062,1062,447.56,484.5,642.44,446.53,563.97,587.29
68,OK,22,-5,1064,1064,446.54,484.28,642.21,447.9,564.2,589.44
69,OK,10,-13,1070,1070,438.44,480.78,634.85,442.07,554.64,583.36
70,OK,10,5,1052,1052,431.9,489.48,624.37,448.99,543.98,594.07
71,OK,-1,-3,1068,1068,428.44,484.15,625.35,450.3,539.85,595.62
72,OK,5,2,1062,1062,432.08,487.09,627.38,450.93,543.46,598.76
73,OK,-4,-11,1086,1086,431.86,484.65,631.5,447.54,547.26,599.41
74,OK,13,-9,1075,1075,444.42,475.44,643.39,446.63,557.77,595.04
75,OK,21,-19,1068,1068,449.71,465.7,647.76,439.39,562.31,579.03
76,OK,28,-21,1077,1077,459.46,462.19,659.57,439.8,573.29,583.67
77,OK,37,-26,1068,1068,466.1,452.02,665.21,435.84,576.52,572.99
78,OK,44,-29,1070,1070,473.26,449.96,672.85,436.71,585.17,569.98
79,OK,48,-26,1064,1064,474.18,450.7,672.55,435.75,587.29,569.5
80,OK,42,-29,1074,1074,473.94,449.75,674.51,438.09,584.39,572.13
81,OK,58,-19,1041,1041,474.34,449.23,668.39,432.44,584.75,561.74
82,OK,64,-21,1042,1042,479.37,450.99,673.16,431.1,594.31,560.57
83,OK,61,-25,1049,1049,481.31,446.83,676.75,429.58,592.81,560.15
84,OK,57,-36,1059,1059,481.59,445.26,678.95,427.57,592.12,549.72
85,OK,75,-25,1032,1032,488.84,440.43,681.4,426.86,597.86,548.83
86,OK,66,-47,1059,1059,487.34,431.66,684.57,412.71,604.16,542.66
87,OK,67,-39,1039,1039,481.96,431.37,675.33,411.92,594.17,539.31
88,OK,68,-39,1036,1036,482.38,431.3,675.15,411.95,594.53,537.06
89,OK,67,-42,1043,1043,483.46,431.56,677.76,413.29,597.32,536.58
90,OK,67,-45,1034,1034,481.06,428.73,672.84,403.69,592.71,529.05
91,OK,65,-54,1042,1042,482.86,424.66,675.72,396.23,593.95,524.43
92,OK,63,-68,1049,1049,485.83,419.39,680.36,394.58,591.94,506.05
93,OK,65,-82,1056,1056,489.92,414.72,684.87,382.68,600.47,495.25
94,OK,79,-81,1045,1045,498.18,410.73,690.81,377.19,608.59,488.77
95,OK,80,-86,1042,1042,499.18,405.27,691.4,373.48,607.68,481.72
96,OK,86,-85,1036,1036,502.43,406.05,693.89,376.31,610.47,476.7
97,OK,89,-77,1032,1032,503.49,409.11,693.96,378.04,612.18,485.29
98,OK,94,-64,1020,1020,503.92,413.22,692.49,384.36,611.27,493.34
99,OK,89,-62,1025,1025,500.87,417.17,689.97,386.06,608.21,500.18
100,OK,80,-70,1037,1037,497.22,419.58,689.29,392.27,603.81,491.54
101,OK,64,-72,1061,1061,489.41,422.92,684.94,389.46,602.65,510.21
102,OK,65,-63,1051,1051,485.48,425.28,679.53,393.87,598.17,515.67
103,OK,67,-55,1035,1035,482.57,424.49,674.01,395.6,591.54,515.19
104,OK,67,-45,1026,1026,478.86,426.88,669.16,401.69,587.08,522.89
105,OK,63,-46,1029,1029,476.91,426.94,668.14,404.51,583.04,520.55
106,OK,66,-50,1033,1033,480.49,425.68,672.33,402.57,588.58,519.8
107,OK,60,-64,1053,1053,482.37,425.04,677.62,399.12,593.26,513.83
108,OK,64,-61,1044,1044,484.16,422.54,677.67,395.9,592.97,513.26
109,OK,72,-55,1037,1037,487.0,425.38,678.51,395.25,599.23,516.94
110,OK,69,-60,1045,1045,486.09,424.33,679.3,395.19,599.43,516.09
111,OK,74,-57,1038,1038,488.41,425.1,680.66,398.15,602.04,513.46
112,OK,72,-56,1040,1040,488.2,425.9,681.4,402.62,600.44,513.92
113,OK,68,-55,1036,1036,484.12,427.29,676.34,403.27,593.39,511.87
114,OK,67,-57,1039,1039,483.72,427.78,676.31,402.16,592.68,510.58
115,OK,63,-52,1039,1039,479.53,429.94,672.02,402.8,589.42,518.92
116,OK,70,-45,1024,1024,480.43,429.0,670.23,403.65,589.76,518.46
117,OK,64,-46,1037,1037,478.72,430.34,671.11,405.31,589.95,526.32
118,OK,70,-42,1036,1036,483.53,431.68,676.07,409.54,597.46,532.28
119,OK,69,-34,1034,1034,482.09,435.09,674.45,414.35,594.99,541.43
120,OK,68,-29,1032,1032,481.87,436.46,674.27,422.12,590.96,546.66
121,OK,57,-39,1057,1057,480.53,437.06,677.68,422.63,591.72,548.34
122,OK,49,-45,1066,1066,478.08,437.19,676.83,422.4,587.74,547.58
123,OK,57,-40,1056,1056,480.47,436.87,677.44,422.17,591.62,547.81
124,OK,61,-42,1058,1058,483.41,438.6,680.39,420.06,598.63,546.6
125,OK,71,-36,1044,1044,488.67,435.71,683.5,422.21,600.51,543.62
126,OK,66,-37,1050,1050,485.85,438.44,681.33,420.21,599.62,547.02
127,OK,67,-43,1052,1052,486.75,436.26,682.16,413.72,602.01,541.96
128,OK,73,-47,1051,1051,492.52,433.44,687.78,411.12,605.93,534.21
129,OK,72,-52,1059,1059,493.5,436.39,689.94,410.66,612.19,531.15
130,OK,65,-57,1066,1066,489.55,436.65,686.59,406.52,609.27,531.25
131,OK,65,-57,1052,1052,483.85,431.69,677.94,398.97,601.93,524.42
132,OK,75,-47,1031,1031,484.35,427.94,674.68,396.68,601.02,525.09
133,OK,68,-59,1031,1031,481.28,418.88,672.71,395.35,589.09,506.74
134,OK,70,-52,1006,1006,474.37,414.09,660.98,389.94,578.47,501.8
135,OK,76,-61,1021,1021,484.55,407.24,674.67,389.19,593.54,501.48
136,OK,93,-47,1004,1004,494.1,413.64,680.13,388.59,603.71,510.62
137,OK,135,-30,959,959,516.08,412.27,693.65,387.25,623.76,499.91
138,OK,140,-47,968,968,524.44,400.9,704.16,379.34,634.82,485.67
139,OK,132,-62,990,990,527.77,393.78,712.57,383.11,634.63,477.92
140,OK,120,-50,991,991,521.61,399.77,707.0,397.86,616.78,492.74
141,OK,118,-29,964,964,513.16,408.21,693.32,403.03,597.0,500.89
142,OK,121,-14,960,960,513.68,414.13,693.19,412.86,598.83,519.91
143,OK,118,-17,967,967,513.5,417.9,694.42,415.88,599.57,516.81
144,OK,117,-24,973,973,514.74,417.07,696.74,414.39,600.43,510.22
