k,status,x,y,w,h,rx,ry,lx,ly,nx,ny
0,FAILED,,,,,,,,,,
1,OK,190,45,750,750,466.6,370.18,659.63,372.67,568.28,470.11
2,OK,190,45,750,750,466.44,369.74,659.56,373.01,567.69,470.18
3,OK,189,46,751,751,465.6,370.3,658.89,372.93,566.05,471.12
4,OK,190,45,751,751,465.68,370.1,659.1,371.67,567.64,470.72
5,OK,187,41,754,754,465.0,369.69,659.21,371.3,567.09,467.39
6,OK,192,46,748,748,466.9,370.48,659.67,371.29,569.3,469.46
7,OK,189,43,752,752,465.97,370.19,659.69,372.03,567.8,468.73
8,OK,191,45,751,751,466.28,371.03,659.78,371.73,569.47,470.0
9,OK,190,43,753,753,466.11,370.43,660.02,371.38,569.04,468.41
10,OK,188,42,756,756,466.49,370.6,661.15,373.5,569.27,468.5
11,OK,188,42,756,756,466.31,371.32,661.12,373.43,569.68,468.82
12,OK,191,43,751,751,466.41,369.51,659.71,370.42,569.13,466.75
13,OK,190,43,748,748,465.62,369.0,658.4,369.83,567.49,465.96
14,OK,190,43,751,751,465.84,369.77,659.17,370.67,568.13,467.08
15,OK,190,43,752,752,466.66,369.9,660.44,371.27,569.79,468.19
16,OK,191,41,751,751,468.6,366.94,662.07,372.19,567.92,462.81
17,OK,192,44,749,749,468.32,369.42,661.2,372.81,568.23,465.74
18,OK,190,42,753,753,466.7,369.18,660.51,371.51,568.68,467.1
19,OK,188,42,752,752,465.05,368.66,658.75,371.14,566.36,467.73
20,OK,188,44,752,752,465.15,369.53,658.9,372.53,566.66,470.03
21,OK,187,42,755,755,464.73,369.44,659.06,371.76,566.27,469.06
22,OK,188,42,755,755,465.88,368.78,660.26,371.6,567.19,469.33
23,OK,186,40,756,756,465.2,368.71,659.85,370.63,567.18,467.49
24,OK,187,42,755,755,465.26,369.2,659.58,371.17,567.0,468.78
25,OK,188,41,753,753,464.98,368.17,658.92,370.18,566.31,466.08
26,OK,187,40,754,754,464.95,368.37,659.11,369.65,567.38,466.8
27,OK,190,41,750,750,466.2,367.75,659.36,368.86,567.9,465.04
28,OK,190,45,749,749,465.54,368.97,658.42,370.9,566.09,469.97
29,OK,188,42,753,753,465.1,368.25,659.08,370.47,566.75,468.03
30,OK,190,42,753,753,468.19,367.66,662.08,372.64,568.77,466.19
31,OK,192,40,752,752,469.21,367.5,662.95,372.79,569.99,462.08
32,OK,188,39,756,756,467.47,367.85,662.07,372.59,567.73,465.4
33,OK,189,40,754,754,466.95,367.93,661.07,371.65,568.68,466.15
34,OK,191,44,749,749,466.9,368.16,659.89,371.33,567.64,466.97
35,OK,190,45,751,751,466.62,368.95,660.03,372.31,567.44,469.45
36,OK,189,42,753,753,465.61,369.05,659.54,371.18,567.63,466.8
37,OK,191,46,751,751,467.22,370.44,660.53,373.66,568.87,470.49
38,OK,188,41,755,755,465.86,368.81,660.32,371.21,567.93,466.74
39,OK,190,44,751,751,466.63,368.95,660.03,371.96,568.05,468.92
40,OK,190,43,752,752,467.93,368.82,661.63,373.11,568.92,467.78
41,OK,192,40,754,754,470.46,368.79,664.54,376.03,571.25,462.19
42,OK,191,38,756,756,470.21,369.18,664.8,374.94,571.47,461.36
43,OK,192,40,754,754,470.89,368.54,665.07,374.99,571.28,463.88
44,OK,191,43,753,753,468.75,368.99,662.51,374.14,569.58,468.07
45,OK,189,42,755,755,466.59,369.59,661.01,371.77,568.74,467.89
46,OK,188,44,753,753,465.42,370.27,659.27,372.4,567.14,468.79
47,OK,188,44,754,754,466.45,370.63,660.7,373.2,568.37,470.82
48,OK,191,46,750,750,467.45,370.63,660.56,373.66,569.23,470.26
49,OK,190,41,755,755,467.52,369.39,662.01,373.02,569.93,466.78
50,OK,190,43,754,754,467.39,370.65,661.56,374.07,569.79,469.0
51,OK,189,41,754,754,467.18,369.78,661.23,372.86,569.02,466.11
52,OK,191,44,751,751,466.6,370.54,660.12,372.43,569.32,467.42
53,OK,190,42,754,754,467.29,370.43,661.42,373.53,570.08,467.77
54,OK,191,43,753,753,467.91,370.11,661.92,372.82,570.63,467.03
55,OK,189,43,753,753,466.65,370.15,660.56,373.35,568.31,467.76
56,OK,189,43,755,755,467.22,370.74,661.62,373.53,569.46,467.96
57,OK,189,42,754,754,467.06,369.61,661.3,372.44,569.51,467.31
58,OK,189,42,756,756,466.82,370.19,661.43,373.15,570.23,469.24
59,OK,192,38,754,754,469.89,368.1,663.96,373.64,571.38,460.25
60,OK,189,39,757,757,468.5,367.16,663.32,373.13,568.63,464.03
61,OK,190,42,753,753,466.82,369.05,660.81,372.25,569.21,466.89
62,OK,188,42,754,754,465.97,369.45,660.17,371.5,568.74,469.42
63,OK,189,42,755,755,466.3,370.0,660.82,371.83,569.05,467.18
64,OK,187,40,758,758,466.69,369.61,662.01,373.08,569.26,468.13
65,OK,191,43,752,752,468.22,370.26,661.77,372.86,570.8,467.33
66,OK,189,41,757,757,467.07,370.04,661.95,371.72,571.49,467.69
