k,status,x,y,w,h,rx,ry,lx,ly,nx,ny
0,FAILED,,,,,,,,,,
1,OK,266,-2,703,703,515.67,327.21,695.04,303.13,628.87,383.61
2,OK,255,-1,711,711,507.16,330.6,689.49,314.54,621.95,387.02
3,OK,248,-8,716,716,502.17,321.18,686.22,307.92,618.93,386.28
4,OK,248,-9,717,717,501.93,319.99,686.19,308.08,618.03,385.0
5,OK,250,-13,725,725,506.89,321.98,693.44,314.93,624.23,380.1
6,OK,250,-13,735,735,510.87,323.87,699.98,315.43,629.15,389.57
7,OK,255,-7,728,728,514.27,322.93,701.82,317.77,631.77,394.14
8,OK,278,2,718,718,533.24,319.2,718.16,321.45,649.71,402.27
9,OK,278,-2,728,728,536.46,318.71,723.91,324.76,655.18,403.9
10,OK,286,8,730,730,544.75,324.38,732.64,330.69,664.52,420.17
11,OK,289,6,724,724,546.68,321.0,733.01,326.66,663.84,413.83
12,OK,277,4,742,742,543.57,322.04,734.51,329.76,658.0,424.12
13,OK,265,1,760,760,540.48,333.4,736.3,336.12,653.33,427.44
14,OK,251,20,767,767,533.09,350.28,730.53,351.03,638.06,455.99
15,OK,249,30,767,767,530.92,358.21,728.23,351.27,634.86,471.3
16,OK,251,37,771,771,534.41,365.01,732.87,358.51,638.46,482.81
17,OK,245,31,782,782,535.28,367.21,736.34,357.26,637.72,483.49
18,OK,259,26,775,775,545.62,356.88,745.11,348.03,646.8,474.84
19,OK,271,27,762,762,553.7,352.08,749.82,347.44,652.6,466.52
20,OK,291,36,738,738,564.93,346.89,754.89,345.39,660.62,465.33
21,OK,303,22,743,743,574.17,335.61,765.63,336.06,678.54,451.77
22,OK,312,15,738,738,577.26,332.89,767.3,330.22,690.33,437.64
23,OK,305,16,735,735,566.33,334.55,755.7,331.44,683.42,433.69
24,OK,298,13,727,727,556.61,316.38,743.87,320.07,673.21,435.51
25,OK,296,5,712,712,546.11,309.14,729.61,308.5,666.33,414.58
26,OK,262,17,709,709,515.89,322.71,698.62,321.98,624.86,419.84
27,OK,259,18,707,707,510.15,322.2,692.23,318.54,623.52,422.11
28,OK,265,19,692,692,507.91,316.98,686.02,311.36,625.04,417.18
29,OK,266,18,689,689,506.21,315.03,683.48,307.36,625.95,413.93
30,OK,254,6,696,696,497.28,311.21,675.87,296.25,618.01,405.97
