k,status,x,y,w,h,rx,ry,lx,ly,nx,ny
0,FAILED,,,,,,,,,,
1,OK,195,-110,737,737,457.75,238.24,644.68,204.78,575.77,295.72
2,OK,199,-107,734,734,459.95,238.59,645.84,204.64,580.52,300.24
3,OK,206,-110,735,735,467.18,232.35,654.28,202.92,586.81,296.51
4,OK,213,-113,733,733,473.47,225.33,659.63,193.44,592.56,297.11
5,OK,213,-114,737,737,477.21,226.04,665.1,198.77,591.89,295.66
6,OK,216,-117,743,743,481.4,226.39,670.99,200.67,599.39,295.35
7,OK,212,-122,750,750,481.02,225.25,672.69,201.44,598.05,293.98
8,OK,207,-129,761,761,480.39,226.72,675.09,204.8,597.7,287.62
9,OK,203,-133,771,771,480.71,228.98,677.93,206.25,598.55,287.27
10,OK,210,-121,758,758,484.2,233.91,678.3,213.52,596.9,292.84
11,OK,215,-122,756,756,488.74,236.61,681.83,211.1,602.64,289.31
12,OK,238,-127,734,734,501.47,229.98,688.91,205.73,616.02,263.17
13,OK,263,-115,714,714,517.0,231.97,699.32,208.49,633.1,265.05
14,OK,261,-111,753,753,525.57,244.25,717.32,215.09,653.04,301.82
15,OK,266,-126,741,741,530.75,240.21,718.31,205.15,649.45,265.68
16,OK,294,-104,713,713,552.39,238.08,735.26,221.09,658.11,274.81
17,OK,289,-103,716,716,554.96,233.77,739.34,233.77,647.78,277.26
18,OK,291,-100,723,723,554.29,243.16,740.07,230.97,657.93,286.8
19,OK,287,-93,725,725,553.02,242.88,739.6,237.6,653.55,297.87
20,OK,292,-96,716,716,545.89,248.36,728.87,224.47,664.61,287.8
21,OK,256,-87,751,751,529.08,264.69,720.95,239.56,638.49,324.6
22,OK,249,-82,748,748,522.55,270.38,712.63,238.6,628.45,330.94
23,OK,259,-72,738,738,525.02,269.19,712.62,238.37,638.68,341.0
24,OK,261,-69,721,721,519.17,264.55,702.5,234.24,632.49,332.74
25,OK,257,-88,739,739,523.38,256.97,713.14,240.62,634.52,314.69
26,OK,246,-100,752,752,516.99,255.28,709.5,233.73,630.93,307.49
