k,status,x,y,w,h,rx,ry,lx,ly,nx,ny
0,FAILED,,,,,,,,,,
1,OK,-44,-56,1043,1043,376.02,414.92,571.08,414.12,481.85,515.67
2,OK,-42,-49,1040,1040,376.78,422.26,571.21,420.48,483.83,521.17
3,OK,-44,-49,1045,1045,375.92,424.58,571.27,422.66,482.69,523.09
4,OK,-43,-48,1041,1041,375.88,423.82,570.49,421.89,482.41,521.82
5,OK,-38,-47,1037,1037,380.51,419.3,574.49,421.72,484.27,521.82
6,OK,-35,-44,1030,1030,382.29,417.93,574.94,419.42,483.29,524.06
7,OK,-44,-40,1035,1035,375.47,422.18,568.99,421.72,475.43,532.49
8,OK,-48,-25,1018,1018,366.36,431.42,556.76,428.94,462.29,539.25
9,OK,-62,-18,1010,1010,349.57,436.72,538.15,427.14,444.12,542.66
10,OK,-72,-12,1001,1001,333.81,438.53,520.52,426.07,429.1,544.44
11,OK,-76,-2,980,980,322.61,443.04,505.18,426.35,415.68,542.56
12,OK,-91,-2,1014,1014,315.86,455.74,504.67,438.71,422.88,564.74
13,OK,-99,7,1025,1025,308.08,471.68,498.26,448.33,423.6,579.62
14,OK,-110,9,1037,1037,300.72,484.14,493.06,458.63,420.99,583.96
15,OK,-117,10,1045,1045,296.7,487.15,490.51,461.7,416.73,590.74
16,OK,-102,21,1029,1029,302.08,495.45,492.25,465.87,427.4,591.25
17,OK,-101,22,1032,1032,302.71,499.8,492.84,467.09,432.66,593.36
18,OK,-100,26,1035,1035,303.84,505.34,494.4,471.66,435.97,598.64
19,OK,-104,25,1040,1040,301.38,509.97,492.15,472.11,435.96,600.26
20,OK,-120,19,1063,1063,295.75,514.99,490.52,475.56,430.01,606.35
21,OK,-115,22,1055,1055,296.75,511.78,490.28,473.09,431.74,605.66
22,OK,-104,28,1033,1033,298.0,506.48,488.04,471.62,431.51,600.12
23,OK,-98,27,1023,1023,300.89,501.28,489.72,469.91,431.9,591.03
24,OK,-101,11,1032,1032,300.51,487.88,491.03,457.01,435.44,583.0
