k,status,x,y,w,h,rx,ry,lx,ly,nx,ny
0,FAILED,,,,,,,,,,
1,OK,99,87,757,757,376.02,414.92,571.08,414.12,481.85,515.67
2,OK,101,94,755,755,376.78,422.26,571.21,420.48,483.83,521.17
3,OK,99,94,758,758,375.92,424.58,571.27,422.66,482.69,523.09
4,OK,99,94,756,756,375.88,423.82,570.49,421.89,482.41,521.82
5,OK,104,95,753,753,380.51,419.3,574.49,421.72,484.27,521.82
6,OK,106,97,748,748,382.29,417.93,574.94,419.42,483.29,524.06
7,OK,98,102,751,751,375.47,422.18,568.99,421.72,475.43,532.49
8,OK,92,115,739,739,366.36,431.42,556.76,428.94,462.29,539.25
9,OK,77,121,733,733,349.57,436.72,538.15,427.14,444.12,542.66
10,OK,65,125,726,726,333.81,438.53,520.52,426.07,429.1,544.44
11,OK,58,132,712,712,322.61,443.04,505.18,426.35,415.68,542.56
12,OK,48,137,736,736,315.86,455.74,504.67,438.71,422.88,564.74
13,OK,41,147,744,744,308.08,471.68,498.26,448.33,423.6,579.62
14,OK,32,151,753,753,300.72,484.14,493.06,458.63,420.99,583.96
15,OK,26,153,759,759,296.7,487.15,490.51,461.7,416.73,590.74
16,OK,39,162,747,747,302.08,495.45,492.25,465.87,427.4,591.25
17,OK,41,164,749,749,302.71,499.8,492.84,467.09,432.66,593.36
18,OK,42,168,751,751,303.84,505.34,494.4,471.66,435.97,598.64
19,OK,39,168,755,755,301.38,509.97,492.15,472.11,435.96,600.26
20,OK,25,164,772,772,295.75,514.99,490.52,475.56,430.01,606.35
21,OK,29,166,766,766,296.75,511.78,490.28,473.09,431.74,605.66
22,OK,37,169,750,750,298.0,506.48,488.04,471.62,431.51,600.12
23,OK,42,167,743,743,300.89,501.28,489.72,469.91,431.9,591.03
24,OK,41,153,749,749,300.51,487.88,491.03,457.01,435.44,583.0
25,OK,42,151,745,745,300.97,480.38,490.23,448.79,433.8,581.77
26,OK,42,136,748,748,306.37,464.49,497.8,443.28,431.52,567.29
27,OK,58,132,740,740,318.8,453.65,508.73,438.51,443.1,559.09
28,OK,66,113,739,739,327.38,437.48,516.92,421.29,448.93,535.06
29,OK,58,90,754,754,325.03,424.71,517.92,401.9,449.12,522.45
30,OK,66,79,736,736,328.93,401.71,517.48,381.88,445.82,504.18
31,OK,59,71,747,747,327.17,395.75,518.84,379.45,442.18,501.07
32,OK,57,66,748,748,327.76,392.66,519.87,378.85,438.91,495.49
33,OK,63,72,739,739,329.07,390.89,518.99,380.25,440.12,497.51
34,OK,53,69,742,742,323.17,390.81,514.01,381.14,431.23,494.13
35,OK,44,66,754,754,320.12,391.44,514.1,384.33,426.36,498.28
36,OK,45,66,752,752,319.21,392.08,512.82,383.79,426.48,496.39
37,OK,46,71,753,753,319.85,394.6,513.66,387.24,427.29,503.73
38,OK,43,69,755,755,317.32,395.83,511.46,386.08,425.66,502.14
39,OK,42,71,756,756,318.54,396.47,513.11,390.89,424.21,504.35
40,OK,42,75,753,753,317.99,397.1,512.01,393.04,422.58,507.22
41,OK,40,72,752,752,316.44,396.16,509.97,391.17,420.35,503.77
42,OK,41,75,749,749,315.65,396.9,508.41,390.64,419.35,505.44
43,OK,37,69,750,750,313.08,395.97,506.01,387.41,416.41,497.72
44,OK,36,65,753,753,313.23,392.56,507.11,385.66,415.8,493.01
45,OK,27,53,769,769,311.71,388.85,509.74,383.31,413.21,489.47
46,OK,27,46,775,775,313.45,388.0,512.88,383.07,415.09,482.42
47,OK,40,53,758,758,320.43,381.86,515.72,381.62,421.02,482.67
48,OK,45,56,755,755,325.04,379.2,519.37,384.19,421.88,485.25
49,OK,47,57,751,751,326.93,380.04,520.23,385.84,422.34,481.95
50,OK,48,57,750,750,327.14,381.06,520.26,386.77,423.74,481.39
51,OK,49,69,744,744,325.05,386.16,516.66,389.72,422.48,495.07
52,OK,43,70,748,748,318.96,396.73,511.68,397.59,419.61,491.19
53,OK,4,76,737,737,272.74,401.01,462.67,400.12,376.31,489.17
54,OK,-12,99,737,737,257.09,421.52,446.74,416.65,360.91,515.91
55,OK,38,115,720,720,304.58,425.18,489.99,425.26,400.49,526.26
56,OK,39,115,727,727,307.39,428.05,494.63,424.54,404.26,531.08
57,OK,37,116,730,730,307.02,430.94,494.97,428.09,404.45,532.92
58,OK,36,114,734,734,307.29,430.11,496.23,429.46,404.59,533.14
59,OK,31,115,737,737,303.86,432.1,493.7,429.73,400.17,535.94
60,OK,33,118,732,732,305.2,432.73,493.72,432.3,399.69,536.19
61,OK,35,125,726,726,304.58,436.4,491.54,433.87,398.16,541.38
62,OK,34,123,736,736,306.69,438.73,496.34,436.63,404.31,545.47
63,OK,36,125,740,740,308.35,440.42,498.95,438.5,408.49,550.65
64,OK,38,128,737,737,309.22,440.06,499.15,439.93,408.38,552.33
65,OK,39,102,754,754,315.72,427.26,509.95,427.49,420.51,531.99
66,OK,33,85,772,772,317.4,417.87,516.21,417.1,422.73,525.97
67,OK,51,89,748,748,324.47,411.55,517.14,410.07,430.21,516.48
68,OK,61,83,743,743,330.62,402.4,522.08,403.49,438.49,505.37
69,OK,69,93,733,733,335.41,406.23,524.16,411.3,441.38,510.32
70,OK,71,100,733,733,338.17,410.08,526.92,416.48,443.43,519.58
71,OK,63,103,751,751,336.22,418.09,529.67,423.12,444.36,536.39
72,OK,65,110,750,750,338.74,420.58,531.68,428.99,444.85,545.72
73,OK,65,115,747,747,337.77,423.9,529.91,431.92,442.38,548.97
74,OK,64,118,740,740,335.63,423.89,525.99,433.88,437.35,548.77
75,OK,58,119,743,743,332.28,424.47,523.27,435.64,431.63,550.36
76,OK,54,115,747,747,330.63,422.83,522.78,434.53,429.15,547.4
77,OK,58,121,739,739,331.81,424.23,521.72,437.27,428.52,550.56
78,OK,58,123,739,739,331.54,426.25,521.41,437.66,428.07,553.83
79,OK,54,122,749,749,331.82,427.79,524.43,440.7,429.2,558.3
80,OK,63,123,744,744,335.92,428.68,527.35,438.73,438.93,557.78
81,OK,70,125,741,741,340.38,427.17,531.01,437.87,445.32,558.87
82,OK,80,123,723,723,343.72,420.59,529.72,430.12,446.05,543.52
83,OK,77,126,723,723,340.95,427.31,526.97,435.0,442.73,544.2
84,OK,77,116,726,726,343.27,418.56,530.1,428.31,445.05,536.07
85,OK,78,115,724,724,342.23,417.88,528.47,425.04,445.45,534.0
