window_start_ms,window_end_ms,mean_hrv,mean_gsr,stress_label,anchor_frame,has_synthetic_scar,subject_id
0,1000,53.94178721667583,3.076697245666156,0,/data/bp4d/F001/frame_000480.png,1,F001
500,1500,57.22696607885384,2.178812295129494,0,/data/bp4d/F001/frame_001000.png,0,F001
1000,2000,59.6412910870282,2.197185496457939,0,/data/bp4d/F001/frame_001480.png,0,F001
1500,2500,60.17696910847638,2.1730702698464146,0,/data/bp4d/F001/frame_002001.png,0,F001
2000,3000,60.55884122830333,2.1734533146735773,0,/data/bp4d/F001/frame_002481.png,1,F001
2500,3500,60.62054320881819,2.1757485127811518,0,/data/bp4d/F001/frame_003002.png,0,F001
3000,4000,59.94876291660473,2.0185050016590913,0,/data/bp4d/F001/frame_003482.png,0,F001
3500,4500,59.73461697206492,2.0207691391680225,0,/data/bp4d/F001/frame_004002.png,0,F001
4000,5000,60.71910096680662,1.8965835439067251,0,/data/bp4d/F001/frame_004482.png,0,F001
4500,5500,60.5807828454242,1.7800046356359054,0,/data/bp4d/F001/frame_005003.png,0,F001
5000,6000,59.922014070269036,1.8731430086346736,0,/data/bp4d/F001/frame_005483.png,0,F001
5500,6500,60.1976661066253,2.05781741020192,0,/data/bp4d/F001/frame_006004.png,0,F001
6000,7000,60.16921590979951,2.0715962187059405,0,/data/bp4d/F001/frame_006484.png,0,F001
6500,7500,59.844664881762384,2.0500997647661414,0,/data/bp4d/F001/frame_007004.png,0,F001
7000,8000,55.65697520231905,2.509107416447729,0,/data/bp4d/F001/frame_007484.png,1,F001
7500,8500,49.74921487198553,3.615780190158698,1,/data/bp4d/F001/frame_008005.png,1,F001
8000,9000,47.2699906641121,4.382494289748748,1,/data/bp4d/F001/frame_008485.png,0,F001
8500,9500,46.119428724807356,4.862986284699438,1,/data/bp4d/F001/frame_009006.png,1,F001
9000,10000,45.71142214297196,5.0242759611347605,1,/data/bp4d/F001/frame_009486.png,1,F001
9500,10500,47.01611560610236,5.037735863734591,1,/data/bp4d/F001/frame_010006.png,0,F001
10000,11000,46.24707421511465,5.168005693266109,1,/data/bp4d/F001/frame_010486.png,1,F001
10500,11500,45.24633698124805,5.003105104790664,1,/data/bp4d/F001/frame_011007.png,1,F001
11000,12000,47.28178603335364,4.990695926579831,1,/data/bp4d/F001/frame_011487.png,0,F001
11500,12500,46.47342079514975,4.9301022459209,1,/data/bp4d/F001/frame_012008.png,1,F001
12000,13000,45.02102976172627,4.9579153593330725,1,/data/bp4d/F001/frame_012488.png,1,F001
12500,13500,46.337665259571914,5.109595186451282,1,/data/bp4d/F001/frame_013008.png,1,F001
13000,14000,46.91029400272561,4.96136323136313,1,/data/bp4d/F001/frame_013488.png,1,F001
13500,14500,45.80881744203411,4.854671789197903,1,/data/bp4d/F001/frame_014009.png,1,F001
14000,15000,45.01722397160766,4.810419012029518,1,/data/bp4d/F001/frame_014489.png,1,F001
14500,15500,44.22426530999632,4.888826873056485,1,/data/bp4d/F001/frame_015010.png,1,F001
15000,16000,44.58401308995487,4.927926035322009,1,/data/bp4d/F001/frame_015490.png,1,F001
15500,16500,48.18575741701632,4.257886555139994,1,/data/bp4d/F001/frame_016010.png,1,F001
16000,17000,47.47489167799862,4.351943963472048,1,/data/bp4d/F001/frame_016490.png,1,F001
