k,status,x,y,w,h,rx,ry,lx,ly,nx,ny
0,FAILED,,,,,,,,,,
1,OK,116,52,700,700,374.1,361.3,553.86,373.46,468.06,438.1
2,OK,117,55,697,697,373.38,362.15,552.59,373.45,468.61,439.68
3,OK,119,59,693,693,372.86,363.05,551.0,373.62,468.11,442.57
4,OK,116,55,696,696,372.72,362.16,551.53,373.08,467.56,440.16
5,OK,116,54,699,699,373.41,361.34,552.94,373.24,467.19,439.74
6,OK,117,54,696,696,373.59,361.36,552.41,372.72,467.97,438.62
7,OK,117,56,695,695,372.88,362.15,551.42,373.28,465.98,439.63
8,OK,114,57,694,694,371.32,363.36,549.7,373.45,463.35,440.12
9,OK,115,59,690,690,370.22,363.44,547.53,374.71,462.37,440.57
10,OK,118,62,687,687,370.26,363.13,547.02,373.77,463.59,441.81
11,OK,117,60,689,689,371.43,362.69,548.43,374.47,464.05,439.87
12,OK,118,60,689,689,372.05,362.36,549.18,373.9,464.3,440.97
13,OK,114,56,696,696,370.99,363.52,549.85,374.39,464.16,439.71
14,OK,114,58,694,694,370.01,364.59,548.38,374.55,464.46,441.01
15,OK,113,58,694,694,369.29,364.44,547.92,374.07,463.04,441.95
16,OK,110,56,698,698,367.81,365.26,547.29,374.07,461.09,442.32
17,OK,113,61,691,691,367.88,366.01,545.64,374.38,460.48,442.71
18,OK,111,58,695,695,367.6,366.19,546.47,375.32,460.5,441.06
19,OK,106,54,705,705,366.94,367.05,548.19,377.15,459.32,441.8
20,OK,109,58,699,699,367.6,367.21,547.3,377.2,458.56,443.24
21,OK,110,57,696,696,367.84,371.04,546.79,381.29,459.97,434.68
22,OK,103,53,707,707,364.4,369.38,546.31,378.98,456.82,439.06
23,OK,102,50,710,710,366.39,366.14,548.92,378.55,457.31,439.36
24,OK,102,49,714,714,367.19,366.81,550.72,378.85,459.32,440.05
25,OK,103,49,713,713,366.73,367.09,550.06,378.53,459.94,439.17
26,OK,101,48,716,716,366.71,366.74,550.64,378.78,460.62,439.46
27,OK,104,51,710,710,367.19,366.4,549.82,378.12,460.47,441.42
28,OK,103,52,710,710,366.4,366.45,549.03,377.44,458.4,443.14
29,OK,103,51,710,710,366.41,366.56,549.0,377.77,459.1,441.21
30,OK,102,50,712,712,366.78,366.82,549.85,377.99,459.61,441.22
31,OK,102,49,714,714,367.29,366.91,550.91,378.83,460.8,440.76
32,OK,105,53,709,709,367.32,367.38,549.72,378.08,459.88,442.88
33,OK,102,49,715,715,366.76,366.44,550.62,377.55,460.49,441.51
34,OK,104,51,710,710,367.04,366.73,549.47,377.65,459.88,441.45
35,OK,103,52,711,711,366.45,366.5,549.19,377.81,458.99,442.04
36,OK,100,49,716,716,365.67,367.07,549.72,378.32,458.95,441.43
37,OK,101,49,715,715,366.03,367.09,549.83,378.9,459.18,439.99
38,OK,103,52,710,710,366.35,368.33,549.08,378.22,459.72,442.22
39,OK,100,50,714,714,364.68,368.92,548.34,377.24,458.19,441.39
40,OK,101,49,714,714,365.53,368.33,549.3,377.43,458.9,440.81
41,OK,103,51,712,712,366.75,368.09,550.04,376.7,460.72,442.39
42,OK,104,52,710,710,366.57,367.84,549.3,376.18,460.52,442.08
43,OK,109,57,698,698,367.76,364.83,547.48,372.71,460.34,444.08
44,OK,107,54,704,704,367.35,364.4,548.48,372.93,460.09,444.68
45,OK,109,54,703,703,369.16,362.27,550.03,372.82,460.52,442.82
46,OK,110,56,700,700,368.95,363.4,549.03,372.89,461.21,444.59
47,OK,110,57,699,699,368.73,363.93,548.68,372.85,460.5,444.53
48,OK,111,56,700,700,370.03,364.4,550.06,373.34,463.18,443.78
49,OK,112,57,698,698,370.26,364.38,549.81,373.03,463.01,443.9
50,OK,111,55,701,701,370.17,364.0,550.47,373.86,462.95,442.97
51,OK,113,56,699,699,370.45,363.55,550.33,373.29,463.87,443.04
52,OK,112,57,699,699,370.47,364.29,550.4,373.01,463.54,443.7
53,OK,108,51,707,707,370.54,363.48,552.28,373.54,462.51,440.84
54,OK,109,52,707,707,370.53,363.86,552.47,373.9,464.09,442.95
55,OK,106,51,708,708,367.84,364.58,549.9,373.49,461.77,442.89
56,OK,108,55,704,704,368.81,364.47,549.96,373.14,462.23,446.23
57,OK,107,54,706,706,368.22,364.57,549.88,373.17,461.76,445.19
58,OK,110,54,705,705,369.98,364.14,551.21,374.08,463.75,444.09
